DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
5989,4780,1862,629,611,5702,5811,randomGenerateMaze202
2752,1352,5260,4185,3944,3185,2712,randomGenerateMaze203
2661,4378,1561,393,678,4581,5161,randomGenerateMaze204
5532,1634,6206,3181,2656,46,228,randomGenerateMaze205
4760,962,6521,4466,3000,541,273,randomGenerateMaze206
4595,2980,987,2998,4036,1526,2064,randomGenerateMaze207
1123,752,5062,1135,4420,2331,4599,randomGenerateMaze208
945,3205,1002,3249,4428,5154,996,randomGenerateMaze209
3716,3684,1410,2103,1377,3345,3886,randomGenerateMaze210
5479,3932,5914,818,6427,5580,1544,randomGenerateMaze211
934,244,4339,5061,4735,6109,640,randomGenerateMaze212
2898,4825,3334,559,623,723,5559,randomGenerateMaze213
597,1178,5536,4861,1416,1044,5483,randomGenerateMaze214
561,136,1641,5091,4963,3824,3920,randomGenerateMaze215
909,3892,5106,3328,3703,6167,4265,randomGenerateMaze216
169,896,1653,5565,4334,4146,1507,randomGenerateMaze217
5853,845,2859,4713,6577,5336,1114,randomGenerateMaze218
1404,4889,5789,419,303,1002,3231,randomGenerateMaze219
6520,2490,4785,4459,2839,4425,5994,randomGenerateMaze220
1376,4754,4093,1266,804,369,6353,randomGenerateMaze221
826,5413,1363,4569,5399,3912,3763,randomGenerateMaze222
1,1,1,1,1,1,1,randomGenerateMaze223
2463,6055,6462,6110,1402,2734,1356,randomGenerateMaze224
1442,3504,1850,6265,5824,1253,1068,randomGenerateMaze225
1838,997,3414,4086,5121,2069,4448,randomGenerateMaze226
3268,5363,2109,1062,1052,1575,5102,randomGenerateMaze227
5814,3199,4641,5750,5534,2412,5219,randomGenerateMaze228
4290,502,1115,4784,4189,3167,5488,randomGenerateMaze229
4032,3779,6114,665,622,6271,4766,randomGenerateMaze230
1155,1710,6021,5320,4334,2745,2439,randomGenerateMaze231
5661,1958,3344,3389,4528,223,4263,randomGenerateMaze232
4918,3963,6352,6124,5938,4406,2195,randomGenerateMaze233
419,433,2423,5328,4703,2694,6091,randomGenerateMaze234
1993,1601,5436,38,59,845,1058,randomGenerateMaze235
5430,5437,685,3340,2735,6188,6085,randomGenerateMaze236
4430,6416,1503,4461,4344,6271,1037,randomGenerateMaze237
4198,1466,5123,5550,4609,4693,2945,randomGenerateMaze238
2589,596,2139,4920,1657,3924,2474,randomGenerateMaze239
1437,2449,5755,3689,1946,5904,1954,randomGenerateMaze240
2636,3245,3088,3468,3359,2206,1792,randomGenerateMaze241
1301,4605,2362,823,30,1180,31,randomGenerateMaze242
5897,5795,1690,5390,4623,5491,3767,randomGenerateMaze243
524,2790,4371,1655,1962,479,2166,randomGenerateMaze244
966,2691,4056,789,5848,604,1901,randomGenerateMaze245
5571,6223,6114,3668,2240,5759,3195,randomGenerateMaze246
3560,1008,1964,3380,3812,3989,3378,randomGenerateMaze247
96,2209,6326,5946,6488,1413,449,randomGenerateMaze248
333,2828,4690,4221,3498,937,3718,randomGenerateMaze249
5736,337,813,5287,4703,3870,6618,randomGenerateMaze250
6513,6513,6513,6513,6513,6513,6513,randomGenerateMaze251
3897,3036,1051,6196,5559,3497,5920,randomGenerateMaze252
2283,670,3232,5340,4379,3758,5172,randomGenerateMaze253
6569,6307,4288,5686,4803,6023,90,randomGenerateMaze254
935,3880,3483,671,505,6068,376,randomGenerateMaze255
2925,3370,1732,2648,2538,1751,3917,randomGenerateMaze256
5672,5860,1829,1792,1345,2424,1417,randomGenerateMaze257
4104,3626,3734,974,2821,3140,5932,randomGenerateMaze258
1548,5651,3927,5751,2746,2002,2811,randomGenerateMaze259
3743,3790,4035,6449,6397,6352,1394,randomGenerateMaze260
4986,857,1674,4212,4877,5706,5663,randomGenerateMaze261
3979,3356,3567,2331,2480,2980,5239,randomGenerateMaze262
1898,431,2819,5057,4662,2410,822,randomGenerateMaze263
1794,3909,3520,1591,6037,1995,3566,randomGenerateMaze264
1934,4896,5145,2065,5860,1679,594,randomGenerateMaze265
125,1880,5221,3071,3305,1138,2269,randomGenerateMaze266
5328,4855,5992,2177,2480,1424,2730,randomGenerateMaze267
1367,5497,4281,34,6531,5965,377,randomGenerateMaze268
4427,323,5913,4300,4660,4979,4962,randomGenerateMaze269
5945,5526,4343,2187,1752,5988,2923,randomGenerateMaze270
2973,3583,1872,6437,6176,6144,2225,randomGenerateMaze271
6269,3366,4731,2009,6052,5863,755,randomGenerateMaze272
6516,6516,6516,6516,6516,6516,6516,randomGenerateMaze273
5012,2723,1784,2805,111,2845,1202,randomGenerateMaze274
4339,4766,499,5565,5748,1856,2863,randomGenerateMaze275
6599,6599,6599,6599,6599,6599,6599,randomGenerateMaze276
1661,2648,5319,2805,716,935,1324,randomGenerateMaze277
29,29,29,29,29,29,29,randomGenerateMaze278
2139,5657,4021,357,399,1780,5177,randomGenerateMaze279
3174,4025,5792,5945,6214,1908,2668,randomGenerateMaze280
2482,3731,2543,3849,4518,4229,3325,randomGenerateMaze281
651,4614,3304,528,1209,5089,6290,randomGenerateMaze282
5085,4413,2541,2246,1678,4896,6402,randomGenerateMaze283
3327,4123,1919,2708,1145,2860,2318,randomGenerateMaze284
5477,558,154,1642,2121,5602,2453,randomGenerateMaze285
3211,5673,1197,1627,107,5859,848,randomGenerateMaze286
6231,6193,5506,4509,4463,5751,2610,randomGenerateMaze287
2505,4939,2415,1895,2594,3726,4493,randomGenerateMaze288
4363,6482,156,4975,5150,1043,611,randomGenerateMaze289
1434,423,1022,5141,5078,5340,3967,randomGenerateMaze290
2968,5522,2448,208,6269,805,1514,randomGenerateMaze291
6334,1138,3663,5635,5531,3711,4293,randomGenerateMaze292
4305,3375,939,2268,3435,3828,2777,randomGenerateMaze293
6618,948,4941,6421,6291,5175,1281,randomGenerateMaze294
892,6141,3946,5952,5680,6094,3351,randomGenerateMaze295
1244,2728,5000,3126,3216,342,5734,randomGenerateMaze296
5157,3742,1046,6351,4890,5554,2600,randomGenerateMaze297
4549,2306,2071,3337,3755,3056,4456,randomGenerateMaze298
5783,5743,5659,2803,5482,5458,3407,randomGenerateMaze299
2826,6553,3844,4814,107,2666,607,randomGenerateMaze300
3,3,3,3,3,3,3,randomGenerateMaze301
5722,3357,5687,1173,269,720,4888,randomGenerateMaze302
4496,4121,1931,1882,5945,5684,6295,randomGenerateMaze303
5040,123,477,4139,4179,5052,4806,randomGenerateMaze304
6600,6600,6600,6600,6600,6600,6600,randomGenerateMaze305
1942,1315,2734,4467,5269,5033,5327,randomGenerateMaze306
2347,2056,1227,1993,144,6340,1677,randomGenerateMaze307
2970,5846,170,696,5928,64,369,randomGenerateMaze308
630,1285,4980,4288,4540,5796,1117,randomGenerateMaze309
6149,1162,3174,5088,5345,6124,5139,randomGenerateMaze310
4156,4722,5084,274,514,1120,369,randomGenerateMaze311
6450,1433,5328,4612,4428,429,5656,randomGenerateMaze312
351,2891,4265,5719,262,2061,2036,randomGenerateMaze313
1944,974,1909,5908,973,5175,1630,randomGenerateMaze314
5122,3176,792,2398,1686,2737,5868,randomGenerateMaze315
11,23,394,2365,1837,1376,62,randomGenerateMaze316
3397,4815,4268,1533,1286,438,4832,randomGenerateMaze317
1751,4800,5423,510,462,1851,4020,randomGenerateMaze318
633,2548,3983,3737,3335,1178,3931,randomGenerateMaze319
4040,147,601,2553,1616,5180,5210,randomGenerateMaze320
6618,6618,6618,6618,6618,6618,6618,randomGenerateMaze321
5628,3578,3437,5819,3884,3749,3457,randomGenerateMaze322
3804,2885,2180,2244,5542,1977,3018,randomGenerateMaze323
