DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
871,3060,4830,3030,2895,5572,2912,randomGenerateMaze899
4065,1769,557,3665,4164,3781,5813,randomGenerateMaze900
5313,2867,4507,2046,2510,2140,4965,randomGenerateMaze901
6575,6575,6575,6575,6575,6575,6575,randomGenerateMaze902
396,1067,4858,5860,3299,1559,4522,randomGenerateMaze903
1989,4090,4665,795,1415,792,3793,randomGenerateMaze904
5236,1907,437,2536,5506,4707,5504,randomGenerateMaze905
1218,343,1945,5159,4067,5540,5431,randomGenerateMaze906
2698,4277,3238,6281,5760,2083,1321,randomGenerateMaze907
3065,3667,2930,2037,1442,5921,3091,randomGenerateMaze908
1571,3040,3850,3119,5065,1038,1898,randomGenerateMaze909
4845,3927,509,5411,3396,2781,5581,randomGenerateMaze910
600,4499,5008,2963,3288,1183,5741,randomGenerateMaze911
4426,2016,1084,1103,5162,3778,4884,randomGenerateMaze912
3471,807,4626,5532,4727,4843,3437,randomGenerateMaze913
3506,622,3352,4651,4393,4961,6024,randomGenerateMaze914
5188,6192,2254,669,4465,5279,2526,randomGenerateMaze915
782,808,3424,4476,3520,2460,2009,randomGenerateMaze916
663,4978,4634,1391,913,6425,769,randomGenerateMaze917
2807,1011,2559,4109,4268,2368,4607,randomGenerateMaze918
1183,3291,5364,5404,5286,648,6290,randomGenerateMaze919
3211,1779,2689,5660,2936,6208,3229,randomGenerateMaze920
712,3792,75,1398,5255,825,1786,randomGenerateMaze921
1219,5151,3509,1340,3573,1022,6571,randomGenerateMaze922
6584,6584,6584,6584,6584,6584,6584,randomGenerateMaze923
3957,5235,1251,201,154,4320,166,randomGenerateMaze924
3995,2078,1440,4256,3132,4643,297,randomGenerateMaze925
2961,4090,1579,2541,5279,2644,1629,randomGenerateMaze926
3672,5139,2923,417,629,424,6100,randomGenerateMaze927
2265,3916,5138,1619,214,1148,4856,randomGenerateMaze928
1208,4939,4176,6317,6404,864,5355,randomGenerateMaze929
3592,236,1282,6441,2113,1365,112,randomGenerateMaze930
3494,6007,77,1925,4246,4908,2727,randomGenerateMaze931
475,5672,4775,3546,5440,3500,4675,randomGenerateMaze932
3420,4358,539,1352,6247,4707,4072,randomGenerateMaze933
186,916,5462,3954,3671,430,551,randomGenerateMaze934
6233,5666,4251,5885,6070,6037,4823,randomGenerateMaze935
1828,3258,6407,1571,1931,5077,699,randomGenerateMaze936
5393,4070,393,3328,3534,438,5429,randomGenerateMaze937
916,970,2685,3616,2176,2670,5202,randomGenerateMaze938
3840,2863,2959,2243,3113,1978,4748,randomGenerateMaze939
831,1643,5059,5200,3828,6212,670,randomGenerateMaze940
1258,2910,6074,5848,5414,6441,328,randomGenerateMaze941
937,5064,3827,692,1355,455,2865,randomGenerateMaze942
4767,6430,3403,5167,4624,4427,4090,randomGenerateMaze943
5618,4334,2179,2428,2246,5133,4348,randomGenerateMaze944
3595,6448,1795,3469,2517,2416,5384,randomGenerateMaze945
3762,1989,2467,3124,2082,2569,2669,randomGenerateMaze946
1293,3128,1240,1893,2667,1426,2788,randomGenerateMaze947
4897,6292,1615,5103,4419,4495,6254,randomGenerateMaze948
1181,5419,5748,615,636,3907,2745,randomGenerateMaze949
3599,2012,954,5944,2443,5394,3891,randomGenerateMaze950
969,1548,2931,4157,3726,5842,4872,randomGenerateMaze951
6034,523,3579,6195,2124,1213,1237,randomGenerateMaze952
2262,716,46,68,364,1652,470,randomGenerateMaze953
1221,4215,5951,729,833,6207,2771,randomGenerateMaze954
5141,897,780,3545,2383,3659,5357,randomGenerateMaze955
361,5076,4911,6597,6592,4557,2477,randomGenerateMaze956
5166,4017,425,6221,2383,6046,4455,randomGenerateMaze957
295,1336,2738,4996,4077,3829,5816,randomGenerateMaze958
2453,5624,842,2268,3278,2242,874,randomGenerateMaze959
2366,5767,4088,6418,3627,938,5336,randomGenerateMaze960
3708,135,3755,4548,4317,4344,2193,randomGenerateMaze961
5605,671,2926,4402,3801,3747,17,randomGenerateMaze962
1966,2517,3640,1159,1341,1949,866,randomGenerateMaze963
407,2048,6093,5290,4797,3651,846,randomGenerateMaze964
2427,2417,3046,2526,3060,2120,1908,randomGenerateMaze965
6281,5138,5801,6363,6284,533,5860,randomGenerateMaze966
2089,3981,5291,453,5439,1641,5039,randomGenerateMaze967
1406,2146,2409,5612,5293,5392,2767,randomGenerateMaze968
3544,4435,2864,2654,3110,2564,3673,randomGenerateMaze969
2527,1947,2229,4563,4126,2820,5149,randomGenerateMaze970
1291,4267,3479,1904,1464,5869,1696,randomGenerateMaze971
2767,5606,6039,498,1141,5706,1592,randomGenerateMaze972
3278,365,1462,5573,5208,4317,6353,randomGenerateMaze973
5709,199,1507,5827,5455,4456,6565,randomGenerateMaze974
5315,4253,1320,1240,5924,6469,3927,randomGenerateMaze975
2610,3856,5954,2240,1827,3109,3335,randomGenerateMaze976
3669,4017,2192,1974,5758,4637,3656,randomGenerateMaze977
3153,4789,2397,989,836,5955,4544,randomGenerateMaze978
315,3872,5103,4734,2248,5630,1653,randomGenerateMaze979
4125,3249,1061,5851,4651,3621,4974,randomGenerateMaze980
1481,4714,4620,618,1197,478,3275,randomGenerateMaze981
4398,2575,2163,4935,3929,4760,6060,randomGenerateMaze982
3895,5078,3736,771,982,759,5465,randomGenerateMaze983
6487,5755,3969,3046,2403,1256,543,randomGenerateMaze984
3773,499,5945,5626,5390,5103,6371,randomGenerateMaze985
4377,749,1389,3509,5096,3092,3111,randomGenerateMaze986
4077,5374,1653,4884,5105,3742,4890,randomGenerateMaze987
720,2678,3923,5501,6412,258,885,randomGenerateMaze988
1847,2736,3770,3026,4490,2753,2840,randomGenerateMaze989
6262,4549,6188,2220,791,5756,4122,randomGenerateMaze990
4675,1126,6572,2985,6214,6574,402,randomGenerateMaze991
1648,2086,2492,3330,2891,3347,3425,randomGenerateMaze992
3812,5531,2228,1226,1247,3198,4677,randomGenerateMaze993
6636,6636,6636,6636,6636,6636,6636,randomGenerateMaze994
2316,2131,3605,1229,6171,3856,2177,randomGenerateMaze995
413,2196,5180,4322,3550,2228,6566,randomGenerateMaze996
1927,2731,3839,173,221,1001,4446,randomGenerateMaze997
2954,2020,1564,2167,5295,4002,3147,randomGenerateMaze998
159,396,4310,5513,5125,5575,4303,randomGenerateMaze999
6423,6423,6423,6423,6423,6423,6423,randomGenerateMaze1000
