peek() time (ns),add() Best Case time (ns),add() Worst Case time (ns),extractMax() Best Case time (ns),extractMax() Worst Case time (ns),Items (n), logn,nlogn
150,37787350,272564550,33969950,28130700,1159000,6.064083435963596,7028272.702281808
150,29984550,266331200,-31724050,-42671550,1160000,6.064457989226918,7034771.267503225
100,24717200,255786450,-20162600,-24238450,1161000,6.064832219738574,7041270.207116485
100,27184450,253421550,68829050,-39102400,1162000,6.065206128054312,7047769.520799111
150,50916500,222909300,-25541100,-26231700,1163000,6.0655797147284485,7054269.208229186
250,31405650,213368450,-50466000,9447450,1164000,6.065952980313869,7060769.269085344
50,28668800,222006200,73496550,-38380950,1165000,6.066325925362038,7067269.703046774
150,36509100,223011600,20313200,-2690450,1166000,6.066698550422995,7073770.509793212
50,38744850,322349950,20992400,-3029250,1167000,6.06707085604537,7080271.6890049465
200,30858100,308675700,-14401200,-19332100,1168000,6.067442842776381,7086773.240362813
150,26183900,210732800,71824650,-2486150,1169000,6.06781451116184,7093275.163548191
100,34779050,219945400,-77939900,-4238150,1170000,6.068185861746161,7099777.458243009
150,29791250,216597100,26684200,100727650,1171000,6.068556895072363,7106280.124129737
250,30091800,215896750,29591450,-122849450,1172000,6.068927611682072,7112783.160891388
100,27244600,214592700,-46624250,-3569950,1173000,6.069298012115529,7119286.568211515
50,26324400,211347850,64179200,-56463200,1174000,6.069668096911595,7125790.345774213
100,44879200,217494700,21902800,58960800,1175000,6.0700378666077555,7132294.493264113
200,25048850,206592450,99286650,33801300,1176000,6.070407321740119,7138799.01036638
50,36409350,253653650,38306900,-4942300,1177000,6.070776462843435,7145303.896766723
150,26517150,236096300,59103300,34192500,1178000,6.071145290451083,7151809.152151376
200,35521350,214183350,60793350,-26648950,1179000,6.071513805095089,7158314.77620711
150,26301450,258201500,24792500,51120100,1180000,6.071882007306125,7164820.768621228
200,25823250,217745800,50482250,-2834700,1181000,6.072249897613514,7171327.12908156
200,43461700,238778450,37512900,49483750,1182000,6.072617476545236,7177833.8572764695
50,74825700,221158600,52630450,-31849000,1183000,6.072984744627931,7184340.952894842
150,35038400,247523900,39589750,67605900,1184000,6.073351702386901,7190848.415626091
150,34406550,216550550,-40541100,14242550,1185000,6.073718350346122,7197356.245160155
150,45356000,222101600,-41951900,-36781950,1186000,6.074084689028243,7203864.441187496
200,38777900,213832100,66887050,6001350,1187000,6.0744507189545915,7210373.0033991
250,64731850,228960550,49385550,31196300,1188000,6.074816440645175,7216881.931486468
200,36683250,215126700,70939800,-10648200,1189000,6.075181854618692,7223391.225141625
150,25359700,219230050,92171600,-65063500,1190000,6.075546961392531,7229900.884057112
50,24675900,214737200,81947650,37000200,1191000,6.075911761482778,7236410.907925989
150,30066750,265720350,19215750,957800,1192000,6.076276255404218,7242921.296441828
100,24890450,262863100,30413150,-58082750,1193000,6.076640443670342,7249432.049298718
