ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns)
448,359630,370390,12660
449,368800,385350,12900
450,362840,373660,12730
451,363520,383370,14410
452,364330,376360,13240
453,367390,391740,13290
454,368310,381190,12690
455,370910,426820,12440
456,372390,384130,13640
457,384250,385980,13410
458,375140,387740,13970
459,389130,389210,15700
460,378360,410450,12990
461,391490,393100,12810
462,385520,455650,14250
463,382100,400810,13570
464,410320,399100,13330
465,391440,399690,12990
466,401430,406340,14190
467,389770,429170,13830
468,395260,405970,13710
469,392830,418170,13490
470,396340,409560,13920
471,413360,413630,13560
472,409880,415450,16770
473,401300,414240,14180
474,403910,435380,13550
475,403360,418610,14680
476,419260,418910,13840
477,407430,422010,21900
478,409500,423510,14520
479,412460,436590,14090
480,413540,427050,14960
481,440570,428710,14170
482,417050,449110,15290
483,418510,433230,14000
484,419970,447800,15330
485,421920,436580,13660
486,635420,547420,15040
487,469660,484400,15550
488,469690,499560,16210
489,470440,487840,15210
490,478160,489830,15730
491,475120,499070,16430
492,478230,494720,16940
493,483840,496680,16000
494,534330,498290,17570
495,483290,508780,15930
496,481190,479570,16310
497,474620,480630,15380
498,466820,492900,16420
499,469400,483190,16400
500,480390,486610,16470
501,471360,496820,17550
502,474780,494180,16000
503,475620,491860,15340
504,493090,494480,16330
505,480000,494410,15830
506,459880,477130,14660
507,475120,478280,15620
508,464050,490980,15120
509,466890,483890,15650
510,493130,485580,16320
511,470410,516340,15980
512,499940,493410,15940
513,486200,490300,16290
514,494230,497030,16880
515,480480,508650,16030
516,479260,500660,14990
517,492490,499670,16350
518,484420,531380,16860
519,493480,501480,16740
520,496910,504630,16430
521,490430,507190,16320
522,492650,522080,16080
523,494400,511100,16700
524,506290,513090,16950
525,498570,525470,16670
526,499850,532950,16800
527,501830,518970,17050
528,519880,521020,15580
529,507450,532730,16460
530,507870,525980,16990
531,508390,527300,17620
532,532570,528570,18570
533,512870,543770,16410
534,515260,533350,25610
535,518990,540970,16760
536,530810,543510,17400
537,521260,552450,16800
538,521910,560810,17190
539,540570,543280,17110
540,540150,545730,18410
541,542900,547670,17180
542,532250,559050,17380
543,533270,552210,18140
544,535810,559650,16550
545,550200,556530,18140
546,539280,567200,17390
547,543080,571790,17980
548,542310,560630,17610
549,584240,562330,20140
550,564660,564800,18180
551,549580,579000,17060
552,550690,590640,16810
553,557550,575570,44430
554,580740,578010,19130
555,572220,578760,18830
556,574410,577610,17250
557,560950,599520,17650
558,566770,603110,18250
559,565190,594900,18590
560,575290,588930,18400
561,580200,589400,18750
562,591650,590590,18850
563,573160,605070,17600
564,578390,601360,18490
565,577590,610690,18910
566,579430,598610,19200
567,620930,601580,18380
568,593230,603220,19150
569,603600,612600,19100
570,588620,847620,26590
571,682350,671180,22130
572,650210,674550,20790
573,654370,678010,23700
574,654580,686550,20630
575,657620,684060,20610
576,658180,686990,20190
577,662380,692100,19670
578,619210,648940,19770
579,622400,654520,18730
580,622770,645920,23000
581,625060,653840,19760
582,633620,651850,19630
583,639250,651050,20640
584,640020,650620,19470
585,641450,641140,19730
586,635080,641940,20820
587,624680,801080,19340
588,635370,756290,19310
589,634520,702760,19260
590,635540,668600,19690
591,641590,690650,21810
592,667960,692790,21080
593,668240,695670,21600
594,676390,697380,21350
595,672220,700200,20120
596,673170,714080,21650
597,675860,706730,20950
598,653790,679130,20260
599,653130,683940,20430
600,654790,688160,20460
601,655600,698970,22240
602,657920,679400,29340
603,660790,681200,21200
604,662360,684710,21770
605,678150,690800,20570
606,678470,688310,22820
607,683860,691710,20820
608,687830,695100,21150
609,689650,696670,20780
610,689280,697900,21510
611,689720,701090,23520
612,693370,704260,20840
613,700240,707060,20930
614,695050,717560,20160
615,699100,710950,20920
616,701210,712580,23460
617,701990,716240,21680
618,737050,718890,20130
619,710070,720300,21670
620,696960,729980,21620
621,709040,729570,40210
622,731210,738970,21080
623,715480,744340,22040
624,711820,755880,21090
625,715800,745770,21880
626,715580,745480,21820
627,713510,748670,21880
628,719450,762350,21700
629,717710,755750,21110
630,722450,762760,24100
631,734900,748050,21380
632,744250,752510,21660
633,737580,756840,22430
634,749330,756600,23710
635,742190,758500,23540
636,1027890,883290,22460
637,749100,793900,24820
638,747500,793290,22920
639,746450,786340,21640
640,763280,773490,23020
641,797180,848930,24650
642,830220,851370,29330
643,826900,858510,26120
644,828320,861860,24830
645,831020,858870,28040
646,839600,784690,23660
647,776170,787170,23200
648,776980,805980,23520
649,768930,818390,23200
650,775220,816880,29180
651,784020,813530,23700
652,796520,803970,23940
653,797830,806690,22380
654,806860,829810,23030
655,803590,819250,23560
656,787240,838110,23380
657,787940,824900,24970
658,789000,824070,23800
659,809930,819480,22370
660,811000,828640,24000
661,815920,835790,26030
662,814490,834540,23760
663,801110,862680,23730
664,817160,832220,23780
665,815470,834540,23450
666,820270,836970,26140
667,816100,848880,24990
668,811480,851000,23780
669,815460,845350,24140
670,865410,846950,24620
671,830300,852400,33030
672,826360,862240,27230
673,827760,907730,25140
674,844390,856490,24190
675,843430,858660,25740
676,845860,888100,23200
677,841880,916560,27040
678,847100,875420,24340
679,853480,875540,26140
680,864890,885310,25670
681,849120,894330,26940
682,851690,876360,25450
683,874630,878630,23970
684,866080,888520,24920
685,858190,929290,24050
686,861690,893110,23970
687,872970,890070,26520
688,878060,993900,46800
689,1060050,959420,27130
690,943030,966920,29680
691,939980,974720,27740
692,948330,967070,29070
693,949270,982180,27720
694,947750,982710,28460
695,955080,976540,28170
696,946630,1067470,27690
697,962650,981840,27670
698,921560,938540,28140
699,895680,945320,26560
700,1002420,932190,28130
701,981780,955820,26200
702,935950,957060,26840
703,952550,974250,27630
704,948970,993020,30140
705,956440,979150,29230
706,961940,989460,27920
707,956380,954200,27200
708,925380,943630,26290
709,931160,962620,28360
710,930610,970650,26870
711,1010200,953290,27870
712,1004370,989980,27370
713,959380,981130,28240
714,961690,998390,27860
715,958330,1000320,27200
716,967970,976650,28580
717,948650,982640,27650
718,946970,975000,26090
719,964820,1002190,27490
720,949110,989780,26940
721,1009880,978660,27060
722,966730,992480,28590
723,961840,993780,27870
724,978990,1055900,40520
725,974640,1011840,26640
726,981120,1000440,40180
727,970970,1012690,26360
728,993500,1002020,29400
729,1011780,1049760,28630
730,992210,1006590,27800
731,993810,1051590,30970
732,983830,1038210,27910
733,998050,1025900,28300
734,990070,1306390,28960
735,1036910,1110820,78660
736,997580,1034320,27600
737,1036830,1046830,28170
738,1005120,1105120,30910
739,1110630,1132540,31210
740,1104680,1133030,32000
741,1108110,1149120,30420
742,1116080,1114070,28670
743,1035150,1083560,30260
744,1045150,1077030,29810
745,1047600,1087320,29610
746,1078000,1083140,29110
747,1028650,1060770,29260
748,1053010,1094360,29640
749,1047030,1060640,29490
750,1057700,1079190,31300
751,1046630,1065380,29290
752,1048200,1086320,30540
753,1057130,1075970,27970
754,1054280,1086110,30350
755,1051260,1077300,29480
756,1058620,1090690,31050
757,1063370,1103670,30570
758,1054010,1100870,29380
759,1073430,1104030,30710
760,1060510,1102700,30470
761,1077930,1114130,29000
762,1093200,1095430,30370
763,1083050,1143230,29140
764,1086150,1104610,30620
765,1076620,1120920,29600
766,1100890,1157800,30410
767,1083510,1119570,29930
768,1096400,1138900,30200
769,1101860,1119910,30830
770,1089680,1153730,30280
771,1101820,1136930,29950
772,1095460,1132740,30750
773,1106110,1148970,39310
774,1113210,1135670,30900
775,1101350,1418240,32110
776,1170380,1189640,39490
777,1123070,1184620,37010
778,1116370,1173410,30960
779,1224850,1265950,34170
780,1223850,1272040,35250
781,1226910,1271140,36320
782,1232520,1217730,31620
783,1148490,1178680,32910
784,1138700,1316040,31600
785,1160390,1176270,30180
786,1183750,1232850,34760
787,1197640,1235200,31550
788,1210020,1243660,34480
789,1197540,1234930,33310
790,1176470,1200340,30360
791,1163230,1200790,32850
792,1177080,1194560,32290
793,1153990,1204190,31440
794,1168640,1212970,32290
795,1185600,1207330,32700
796,1173440,1212090,32550
797,1184110,1216260,32900
798,1180360,1224210,32650
799,1186510,1210770,31920
800,1196720,1270930,31350
801,1198370,1259570,33740
802,1194290,1248160,31580
803,1196960,1229000,32860
804,1216290,1280610,34940
805,1210790,1247470,33300
806,1214000,1246180,32210
807,1217150,1235720,33190
808,1214900,1251420,32950
809,1222130,1594400,45940
810,1221740,1272640,33420
811,1243040,1451730,50280
812,1349050,1394850,40210
813,1334910,1382700,37180
814,1348670,1395170,39030
815,1340210,1329040,35500
816,1285400,1329330,34830
817,1281560,1324530,35200
818,1284800,1301600,33320
819,1242840,1304070,34460
820,1266680,1314070,33950
821,1279820,1316200,39010
822,1282130,1310760,33700
823,1270420,1319570,32640
824,1254820,1300150,35270
825,1276190,1309110,35420
826,1270490,1330250,35840
827,1271630,1323480,35190
828,1271630,1307460,34190
829,1275960,1332420,34850
830,1281280,1323850,34320
831,1272950,1320890,35600
832,1287120,1322920,35330
833,1285780,1332630,33570
834,1290420,1336060,35590
835,1308090,1389540,36130
836,1324470,1338520,34340
837,1297820,1340870,34950
838,1318370,1359500,43820
839,1302230,1345410,35290
840,1300590,1355230,39650
841,1321280,1355050,33900
842,1317070,1365150,36050
843,1345040,1534690,36510
844,1320460,1383830,36200
845,1330590,1638360,39590
846,1425010,1471200,37520
847,1424890,1464650,39810
848,1425530,1463370,38620
849,1418550,1475120,38330
850,1431120,1472530,38050
851,1437690,1452080,35390
852,1346750,1390930,35010
853,1356680,1513690,54890
854,1369280,1418610,37090
855,1410250,1462010,38300
856,1424600,1465730,38680
857,1422600,1462740,38240
858,1380770,1409710,36650
859,1367320,1408030,36180
860,1391330,1501120,35950
