ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns),n^2,logn,nlogn,SortedTree n^2,SortedTree logn,SortedTree nlogn,DescendingTree n^2,DescendingTree logn,DescendingTree nlogn,RandomTree n^2,RandomTree Logn,RandomTree nlogn
56,4180,4220,1620,3136,1.748188027,97.89852951,1.332908163,2391.04715,42.69727054,1.345663265,2413.927984,43.10585686,0.516581633,926.6737759,16.547746
57,4350,4450,1540,3249,1.755874856,100.0848668,1.3388735,2477.397513,43.46311426,1.369652201,2534.34918,44.46226631,0.473991998,877.0556712,15.3869416
58,4550,4680,1590,3364,1.763427994,102.2788236,1.35255648,2580.201753,44.48623712,1.391200951,2653.921803,45.75727246,0.472651605,901.6529202,15.54574
59,4800,8350,1550,3481,1.770852012,104.4802687,1.378914105,2710.559645,45.9416889,2.398735995,4715.244382,79.91939631,0.445274346,875.2848854,14.83533704
60,4910,5060,1540,3600,1.77815125,106.689075,1.363888889,2761.294912,46.02158186,1.405555556,2845.65219,47.4275365,0.427777778,866.0680579,14.43446763
61,5140,5300,1740,3721,1.785329835,108.9051199,1.3813491,2879.019831,47.19704641,1.424348293,2968.639125,48.66621517,0.467616232,974.6098261,15.97721026
62,5350,5580,1870,3844,1.792391689,111.1282847,1.391779396,2984.838655,48.14255895,1.451612903,3113.158822,50.21223906,0.486472425,1043.298745,16.82739911
63,5610,5820,1700,3969,1.799340549,113.3584546,1.413454271,3117.808912,49.48903034,1.466364324,3234.518336,51.34156089,0.428319476,944.7905793,14.99667586
64,5750,5980,1740,4096,1.806179974,115.5955183,1.403808594,3183.514424,49.74241288,1.459960938,3310.855001,51.73210939,0.424804688,963.3591475,15.05248668
65,6160,6370,3230,4225,1.812913357,117.8393682,1.457988166,3397.845781,52.27455048,1.507692308,3513.681433,54.05663742,0.764497041,1781.662642,27.41019449
66,6190,6630,1800,4356,1.819543936,120.0898997,1.421028466,3401.951379,51.54471786,1.522038567,3643.770217,55.20863964,0.41322314,989.2588823,14.98877094
67,6600,6770,1800,4489,1.826074803,122.3470118,1.470260637,3614.30977,53.94492194,1.508130987,3707.405628,55.33441235,0.400980174,985.7208463,14.71225144
68,6730,7190,1560,4624,1.832508913,124.6106061,1.455449827,3672.560583,54.00824386,1.554930796,3923.582554,57.69974344,0.337370242,851.2919032,12.51899858
69,5910,6040,1280,4761,1.838849091,126.8805873,1.241335854,3213.966839,46.57922955,1.268641042,3284.663233,47.60381498,0.268851082,696.0875726,10.08822569
70,6040,6280,1130,4900,1.84509804,129.1568628,1.232653061,3273.538787,46.76483982,1.281632653,3403.613176,48.62304537,0.230612245,612.433581,8.749051158
71,6270,6440,1170,5041,1.851258349,131.4393428,1.243800833,3386.885469,47.70261223,1.277524301,3478.714899,48.9959845,0.232096806,632.0025516,8.901444388
72,6520,8060,1140,5184,1.857332496,133.7279397,1.257716049,3510.410771,48.75570515,1.554783951,4339.556873,60.27162323,0.219907407,613.7834783,8.524770532
73,6720,6940,1090,5329,1.86332286,136.0225688,1.261024582,3606.460342,49.40356633,1.302308125,3724.528984,51.02094499,0.20454119,584.9764543,8.013376087
74,6940,7230,1170,5476,1.86923172,138.3231473,1.26734843,3712.755314,50.1723691,1.320306793,3867.899268,52.26890902,0.213659606,625.9256076,8.458454157
75,7200,7520,1110,5625,1.875061263,140.6295948,1.28,3839.874537,51.19832716,1.336888889,4010.535627,53.47380836,0.197333333,591.9806577,7.893075436
76,7470,7840,1260,5776,1.880813592,142.941833,1.293282548,3971.685461,52.25901923,1.35734072,4168.408838,54.84748471,0.218144044,669.9228489,8.814774328
77,7780,8000,1240,5929,1.886490725,145.2597858,1.312194299,4124.059502,53.55921431,1.349300051,4240.678151,55.07374222,0.209141508,657.3051134,8.536430044
78,8020,8320,1250,6084,1.892094603,147.583379,1.318211703,4238.688694,54.34216274,1.367521368,4397.243134,56.37491197,0.205456936,660.6434997,8.469788457
79,8290,8630,1220,6241,1.897627091,149.9125402,1.32831277,4368.613854,55.29890954,1.382791219,4547.784989,57.56689859,0.195481493,642.9081908,8.138078364
80,8720,8880,1410,6400,1.903089987,152.247199,1.3625,4582.021901,57.27527376,1.3875,4666.095697,58.32619622,0.2203125,740.9003303,9.261254129
81,8840,9190,1190,6561,1.908485019,154.5872865,1.347355586,4631.946236,57.18452143,1.400701113,4815.337773,59.44861448,0.18137479,623.5312241,7.697916347
82,9340,11050,1530,6724,1.913813852,156.9327359,1.389054134,4880.307449,59.5159445,1.643367043,5773.811275,70.41233263,0.227543129,799.450792,9.749399902
83,9480,11140,1190,6889,1.919078092,159.2834817,1.376106837,4939.87193,59.51652928,1.617070692,5804.870601,69.93820002,0.172739149,620.0894089,7.470956734
84,9680,10100,1380,7056,1.924279286,161.63946,1.371882086,5030.454815,59.88636685,1.431405896,5248.71835,62.48474227,0.195578231,717.1516162,8.53751924
85,10360,10390,1380,7225,1.929418926,164.0006087,1.433910035,5369.492266,63.17049725,1.438062284,5385.040989,63.3534234,0.19100346,715.2412478,8.414602916
86,11760,10770,1500,7396,1.934498451,166.3668668,1.590048675,6079.095071,70.68715199,1.456192537,5567.334517,64.73644787,0.202812331,775.3947795,9.016218366
87,10570,11010,1440,7569,1.939519253,168.738175,1.396485665,5449.804113,62.64142659,1.454617519,5676.664454,65.24901672,0.190249703,742.4520267,8.533931342
88,10880,11370,1330,7744,1.944482672,171.1144751,1.404958678,5595.318568,63.58316554,1.468233471,5847.313613,66.44674561,0.171745868,683.9865528,7.772574464
89,11360,11780,1360,7921,1.949390007,173.4957106,1.434162353,5827.463956,65.4771231,1.487185961,6042.915969,67.89793223,0.171695493,697.6541356,7.838810512
90,11480,12070,1540,8100,1.954242509,175.8818258,1.417283951,5874.398876,65.27109862,1.490123457,6176.306135,68.62562372,0.190123457,788.0291175,8.755879083
91,11780,12490,1660,8281,1.959041392,178.2727667,1.42253351,6013.145024,66.07851675,1.508271948,6375.567177,70.06117777,0.200458882,847.3532037,9.311573667
92,12100,12860,1630,8464,1.963787827,180.6684801,1.429584121,6161.561769,66.97349749,1.519376181,6548.568955,71.18009733,0.19258034,830.0285689,9.022049662
93,12430,13020,1710,8649,1.968482949,183.0689142,1.437160365,6314.507326,67.89792824,1.505376344,6614.230522,71.1207583,0.197710718,868.6892621,9.340744754
94,12820,13400,1600,8836,1.973127854,185.4740182,1.450882752,6497.298174,69.12019334,1.516523314,6791.247701,72.24731597,0.181077411,810.8952479,8.626545191
95,13130,18660,3760,9025,1.977723605,187.8837425,1.454847645,6638.94589,69.88364094,2.067590028,9435.089893,99.31673572,0.416620499,1901.17567,20.01237547
96,15490,14480,1690,9216,1.982271233,190.2980384,1.680772569,7814.268674,81.39863202,1.571180556,7304.752124,76.09116796,0.183376736,852.5573957,8.880806205
97,14470,18500,1700,9409,1.986771734,192.7168582,1.537889255,7283.171866,75.08424605,1.966202572,9311.588081,95.99575341,0.180678074,855.6594453,8.821231394
98,19430,15130,1630,9604,1.991226076,195.1401554,2.023115369,9757.807131,99.56946052,1.575385256,7598.333602,77.53401635,0.16972095,818.5911283,8.352970697
99,14840,15520,1630,9801,1.995635195,197.5678843,1.514131211,7436.228846,75.11342269,1.583511887,7776.972486,78.55527763,0.16630956,816.7825484,8.250328772
100,15160,16360,1740,10000,2,200,1.516,7580,75.8,1.636,8180,81.8,0.174,870,8.7
101,15950,16640,1860,10201,2.004321374,202.4364588,1.563572199,7957.805674,78.79015518,1.631212626,8302.061844,82.19863212,0.182335065,927.9948936,9.188068253
