Items in List (n),BadHashGetTime (ns),BHGet Collisions,MediumHashGetTime (ns),MHGet Collisions,GoodHashGetTime (ns),GHGet Collisions,BadHashPutTime (ns),BHPut Collisions,MediumHashPutTime (ns),MHPut Collisions,GoodHashPutTime (ns),GHPut Collisions
10000,8718100,100,423400,595,991950,1000,6701850,0,1291250,0,1257250,0
10100,8931200,100,446200,645,1043250,1100,5833900,0,1152600,0,1226250,0
10200,9159300,100,431750,695,1068600,1200,6065100,0,1195000,0,1253800,0
10300,9067450,100,438700,763,1031500,1300,6057050,0,2259900,0,1398550,0
10400,9354750,100,439650,843,1064650,1400,6317650,0,1131100,0,1261750,0
10500,9758250,100,441250,923,1117800,1500,6265300,0,1243900,0,1286350,0
10600,9650150,100,451250,1003,1099000,1600,6280150,0,1240750,0,2118150,0
10700,10024050,100,452350,1083,1086700,1700,6463750,0,1130550,0,1286700,0
10800,10398450,100,463050,1162,1119200,1800,6448250,0,1238300,0,1223400,0
10900,10542950,100,483100,1222,1162750,1900,6690250,0,1229900,0,1251150,0
11000,10709050,100,472150,1282,1173350,2000,6794400,0,1214250,0,1262950,0
11100,10865700,100,491100,1342,1169700,2100,6936950,0,1179250,0,1462650,0
11200,10812100,100,471050,1402,1179850,2200,6845300,0,1232500,0,1301200,0
11300,10988400,100,509400,1462,1260650,2300,6997600,0,1232400,0,1409750,0
11400,11594100,100,510950,1522,1247750,2400,7070400,0,1155150,0,1306750,0
11500,11511650,100,503300,1582,1264450,2500,7328550,0,1119500,0,2255950,0
11600,11354850,100,499600,1642,1249350,2600,7274450,0,1248950,0,1310350,0
11700,12540300,100,492900,1702,1280950,2700,7530100,0,1279700,0,1292100,0
11800,12108850,100,496750,1762,1309900,2800,7688300,0,1373950,0,1390050,0
11900,12160550,100,513400,1822,1282900,2900,7617500,0,1336700,0,1368750,0
12000,12212150,100,530550,1882,1297550,3000,7752500,0,1299300,0,1349150,0
12100,12771900,100,526800,1942,1291400,3022,7972200,0,2303900,0,1421450,0
12200,13227900,100,545900,2002,1317500,3022,7992700,0,1408150,0,1416250,0
12300,14182500,100,520050,2062,1332900,3022,9291500,0,1240350,0,1347100,0
12400,13485850,100,552550,2122,1394250,3022,10751900,0,1523600,0,1767400,0
12500,14062200,100,542000,2182,1375100,3022,8613100,0,1253800,0,1376800,0
12600,13938250,100,547300,2249,1413100,3022,8484400,0,1326550,0,1399650,0
12700,13978400,100,552700,2329,1415000,3022,8457850,0,1383550,0,1467500,0
12800,14094750,100,550550,2409,1431900,3022,8654500,0,1321150,0,1418550,0
12900,14369750,100,599600,2489,1427700,3022,8681150,0,1254550,0,1367550,0
13000,14830100,100,576400,2569,1401350,3022,8174300,0,1316100,0,1440800,0
13100,15229600,100,592150,2649,1424100,3022,9046650,0,1324850,0,1408900,0
13200,15081500,100,612500,2711,1551500,3022,9243200,0,1376300,0,1357450,0
13300,15590200,100,610900,2771,1456750,3022,9330550,0,1342200,0,1403150,0
13400,15486700,100,583950,2831,1391200,3022,9388300,0,1365000,0,1399150,0
13500,16190450,100,601800,2891,1468500,3022,9263050,0,1319550,0,1490850,0
13600,16261850,100,598250,2951,1471200,3022,9547000,0,1222750,0,1406850,0
13700,16134550,100,624950,3011,1462700,3022,9583450,0,1355550,0,1422350,0
13800,16447750,100,632600,3071,1491750,3022,9599250,0,1436150,0,1553350,0
13900,16643350,100,639150,3131,1470950,3022,9995300,0,1384550,0,1438750,0
14000,17046050,100,858800,1659,1348950,90,13459350,0,2467300,0,3279500,0
14100,17278550,100,935600,1679,1359550,100,13920300,0,2002750,0,2181100,0
14200,17869800,100,920950,1699,1397700,100,14130400,0,3459300,0,2282250,0
14300,18183250,100,1001550,1719,1386100,100,14098350,0,2020500,0,2167200,0
14400,18120600,100,975000,1762,1355100,100,15453850,0,2245450,0,2305000,0
14500,18318700,100,855250,1786,1329200,100,14158650,0,2079850,0,2165500,0
14600,18592300,100,862200,1806,1389500,100,14116950,0,2144300,0,2221400,0
14700,19230700,100,865050,1826,1416250,100,14476550,0,2139000,0,2141900,0
14800,19353100,100,939300,1846,1402650,100,14817400,0,2193050,0,2244300,0
14900,19094800,100,872450,1869,1402700,100,14897500,0,2095650,0,2160300,0
15000,19815200,100,921400,1909,1394500,100,14702300,0,2218350,0,2289050,0
15100,19830600,100,879150,1949,1504300,100,14929650,0,2056650,0,2292600,0
15200,20477000,100,882650,1989,1476850,100,15021500,0,2138700,0,2170300,0
15300,20325500,100,854100,2029,1491650,100,15219300,0,3633550,0,2256900,0
15400,20660350,100,894600,2069,1450850,100,15548000,0,2091750,0,2304900,0
15500,21171250,100,1025950,2109,1451950,100,16207700,0,2182600,0,2384250,0
